Serial No.,Order ID,Customer ID,Order Cost,Rating,Prep Time (minutes),Delivery Time (minutes)
108,1477107,315230,17.45,2,21,17
109,1477108,750883,21.46,2,20,28
110,1477109,140873,33.89,5,28,32
111,1477110,584033,34.36,5,32,27
112,1477111,358914,30.12,3,32,16
113,1477112,864030,8.92,5,34,20
114,1477113,977048,5.44,2,23,22
115,1477114,576528,33.49,3,28,30
116,1477115,223072,17.52,4,31,22
117,1477116,848260,5.1,5,29,19
118,1477117,642485,5.43,2,26,23
119,1477118,583812,27.64,5,22,26
120,1477119,626161,34.41,5,21,25
121,1477120,311630,25.27,5,22,28
122,1477121,476604,23.36,2,28,18
123,1477122,106083,10.71,2,29,32
124,1477123,635252,23.25,5,30,24
125,1477124,846695,10.96,3,23,32
126,1477125,413598,14.07,2,27,21
127,1477126,342447,25.66,2,25,24
128,1477127,613613,10.47,3,22,29
129,1477128,263867,19.27,4,33,31
130,1477129,314432,32.68,2,29,29
131,1477130,202800,23.83,4,29,32
132,1477131,208591,5.66,3,24,23
133,1477132,871370,32.42,5,26,23
134,1477133,205800,28.99,5,23,22
135,1477134,44574,8.47,2,33,15
136,1477135,652539,12.69,2,32,18
137,1477136,698557,24.61,5,28,18
138,1477137,282688,29.52,4,29,20
139,1477138,509678,24.35,2,34,28
140,1477139,82441,8.45,4,31,22
141,1477140,104187,9.63,3,24,21
142,1477141,721693,30.54,5,25,24
143,1477142,804405,6.27,4,23,15
144,1477143,146550,11.17,2,23,32
145,1477144,929360,12.79,3,32,31
146,1477145,166814,14.44,2,32,28
147,1477146,978235,16.01,5,34,16
148,1477147,50518,22.02,5,24,18
149,1477148,893383,30.48,4,29,27
150,1477149,94146,30.39,3,31,23
151,1477150,951802,33.84,5,35,18
152,1477151,743293,23.23,4,33,33
153,1477152,977922,19.83,2,26,26
154,1477153,879647,24.32,2,35,22
155,1477154,576860,18.76,2,35,32
156,1477155,726700,18.06,5,30,24
157,1477156,420303,31.14,4,35,22
158,1477157,888565,10.35,2,21,22
159,1477158,749543,16.27,3,34,17
160,1477159,560055,13.73,3,29,31
161,1477160,299023,9.15,2,24,24
162,1477161,557136,13.14,5,35,25
163,1477162,861054,15.13,4,21,22
164,1477163,256941,16.02,2,26,26
165,1477164,900750,7.81,3,20,30
166,1477165,235654,28.38,5,31,24
167,1477166,948516,6.07,5,35,33
168,1477167,722480,13.09,2,32,20
169,1477168,628451,9.48,2,20,19
170,1477169,875351,22.5,5,22,15
171,1477170,449797,15.83,2,22,32
172,1477171,617854,34.68,2,32,31
173,1477172,298579,8.89,5,20,25
174,1477173,482449,8.45,3,31,26
175,1477174,526586,26.92,2,21,33
176,1477175,702317,33.01,5,23,15
177,1477176,682343,14.24,5,20,19
178,1477177,744239,30.71,5,28,27
179,1477178,971482,26.86,2,29,19
180,1477179,841861,14.08,5,27,20
181,1477180,384727,30.07,4,24,31
182,1477181,96374,13.98,4,29,17
183,1477182,350079,8.26,2,26,19
184,1477183,652549,21.82,4,23,21
185,1477184,130952,19.44,2,33,30
186,1477185,520073,15.11,2,34,33
187,1477186,625592,28.94,4,30,21
188,1477187,670757,29.37,2,32,22
189,1477188,361556,8.73,4,25,19
190,1477189,896128,8.48,4,30,22
191,1477190,209626,19.93,3,33,27
192,1477191,264841,6.13,2,33,26
193,1477192,26996,15.05,3,24,33
194,1477193,777022,25.61,4,34,19
195,1477194,294203,9.67,2,24,30
196,1477195,132824,10.0,3,30,18
197,1477196,749595,21.93,3,24,15
198,1477197,241169,29.18,2,26,31
199,1477198,400133,34.74,3,25,26
200,1477199,843180,7.61,2,34,30
